Food_Item,Calories (kcal),Protein (g),Fat (g),Carbohydrates (g),Fiber (g),Calcium (mg),Iron (mg)
Boiled Rice,130,2.7,0.3,28.2,0.4,10,0.2
Chapati (Wheat),104,3.1,1.5,18.5,2.5,15,0.9
Dal (Cooked),116,7.0,3.3,14.0,3.2,30,2.0
Paneer,265,18.3,20.8,1.2,0.0,208,0.7
Chole (Chickpeas Curry),164,8.9,6.2,22.8,6.4,45,2.1
Idli,92,2.0,0.4,19.7,0.3,8,0.3
Dosa,168,2.8,6.8,25.7,0.6,12,0.4
Upma,111,2.6,3.2,17.0,0.8,10,1.2
Vegetable Pulao,130,2.3,3.6,22.2,1.6,15,0.7
Chicken Curry,175,15.2,10.3,4.0,0.4,18,1.0
Fish Curry,142,19.0,6.0,3.5,0.2,20,1.2
Aloo Gobi,91,2.1,4.3,13.5,3.0,33,1.0
Palak Paneer,123,6.6,9.5,4.8,2.5,220,1.8
Curd,61,3.5,3.3,4.7,0.0,120,0.1
Milk (Cow),67,3.2,4.0,5.0,0.0,120,0.1
Banana,89,1.1,0.3,22.8,2.6,5,0.3
Apple,52,0.3,0.2,14.0,2.4,6,0.1
Mango,60,0.8,0.4,15.0,1.6,10,0.2
Pineapple,50,0.5,0.1,13.1,1.4,13,0.3
Papaya,43,0.5,0.1,11.0,1.7,20,0.2
Guava,68,2.6,0.9,14.0,5.4,18,0.3
Pomegranate,83,1.7,1.2,19.6,4.0,10,0.3
Watermelon,30,0.6,0.2,7.6,0.4,3,0.2
Carrot,41,0.9,0.2,9.6,2.8,33,0.6
Tomato,18,0.9,0.2,3.9,1.2,18,0.5
Cucumber,16,0.7,0.1,3.6,0.5,16,0.2
Spinach,23,2.9,0.4,3.6,2.2,99,2.7
Broccoli,34,2.8,0.4,6.6,2.6,47,0.7
Cauliflower,25,1.9,0.3,4.9,2.0,22,0.4
Brinjal (Eggplant),25,1.0,0.2,5.9,3.4,9,0.3
Bell Pepper (Capsicum),20,0.9,0.2,4.7,1.5,10,0.3
Sweet Potato,86,1.6,0.1,20.1,3.0,30,0.6
Beetroot,43,1.6,0.2,9.6,2.8,16,0.3
Biryani,250,6.0,10.0,35.0,2.0,25,2.5
Pav Bhaji,220,6.0,8.0,35.0,5.0,30,2.0
Samosa,140,3.5,8.0,18.0,2.0,20,1.5
Kadhi Pakora,180,7.5,12.0,15.0,3.0,50,2.2
Methi Thepla,145,4.2,6.0,20.0,4.0,30,1.0
Aloo Paratha,150,3.0,7.0,20.0,3.0,35,1.2
Butter Chicken,380,20.0,28.0,8.0,1.0,50,1.5
Tandoori Chicken,250,25.0,15.0,0.0,0.0,30,2.3
Malai Kofta,250,8.0,20.0,15.0,3.0,60,2.0
Shahi Paneer,280,10.0,22.0,18.0,3.0,80,2.5
Bread Toast,80,2.0,3.0,12.0,1.5,20,0.5
Masala Chai,50,1.0,2.5,7.0,0.5,30,0.4
Coffee (Black),2,0.1,0.0,0.4,0.0,2,0.1
Coffee (With Milk),50,1.2,2.0,5.2,0.0,30,0.1
Poha,120,2.5,4.0,18.0,2.0,15,1.0
Upma,111,2.6,3.2,17.0,0.8,10,1.2
Paratha,150,3.0,7.0,20.0,3.0,35,1.2
Aloo Tikki,150,2.5,8.0,20.0,2.0,15,0.9
Methi Paratha,150,3.0,5.0,20.0,3.5,30,1.0
